State,Suburb,Reason for seeking support,lat,lon,Service Demand,Service Supply,Demand to Supply Ratio
ACT,ACTON,DISABILITIES|HOUSING|SUPPORT & COUNSELLING,-35.28520392912707,149.11294329623024,38,4,9.5
ACT,AINSLIE,EMPLOYMENT|HOUSING|LAW|SUPPORT & COUNSELLING,-35.262180927629885,149.1479234803611,6,6,1
ACT,ARANDA,FAMILY VIOLENCE|HOUSING|LAW,-35.25778651907134,149.07842646821777,1,0,0
ACT,BANKS,FAMILY VIOLENCE|HOUSING|LAW,-35.47193657721611,149.0996514960664,19,0,0
ACT,BARTON,FAMILY VIOLENCE|HOUSING|LAW,-35.3109569,149.1319001,2,0,0
ACT,BELCONNEN,DISABILITIES|FAMILY VIOLENCE|HEALTH|HOUSING|LAW|MENTAL HEALTH|SUPPORT & COUNSELLING,-35.23551189271218,149.06767247730215,31,10,3.1
ACT,BONNER,DISABILITIES|HEALTH|HOUSING|MENTAL HEALTH,-35.15597596244418,149.14296569257777,1,0,0
ACT,BONYTHON,HOUSING,-35.42565199934067,149.07346663292873,2,0,0
ACT,BRADDON,HOUSING,-35.27082399542206,149.13572048602765,12,3,4
ACT,BRUCE,HOUSING,-35.24535537997458,149.09163190288663,18,9,2
ACT,CAMPBELL,ALCOHOL & OTHER DRUGS|DISABILITIES|HEALTH|HOUSING|MENTAL HEALTH,-35.29136792870268,149.15821019399752,0,5,0
ACT,CANBERRA AIRPORT,HOUSING,-35.304468996811394,149.19404186678216,2,0,0
ACT,CANBERRA CENTRAL,HOUSING|SUPPORT & COUNSELLING,-35.289300610118815,149.13333647639,498,0,0
ACT,CAPITAL HILL,HOUSING,-35.3065,149.1265,9,0,0
ACT,CASEY,HOUSING,-35.16700193639491,149.09471737868182,2,0,0
ACT,CHARNWOOD,DISABILITIES|HEALTH|HOUSING|MENTAL HEALTH,-35.2038210723877,149.0305579920756,4,0,0
ACT,CHISHOLM,HOUSING|SUPPORT & COUNSELLING,-35.42202791268354,149.12479343240554,0,1,0
ACT,CITY,HEALTH|HOUSING|LAW|SUPPORT & COUNSELLING,-35.28126811505751,149.1291889002202,4616,55,83.92727272727272
ACT,CONDER,HOUSING|SUPPORT & COUNSELLING,-35.45930018856677,149.10426244489588,24,1,24
ACT,COOK,HEALTH|HOUSING|MENTAL HEALTH|SUPPORT & COUNSELLING,-35.2601058272414,149.066342752202,0,1,0
ACT,CRACE,HOUSING|SUPPORT & COUNSELLING,-35.20288080061778,149.10747391642158,2,0,0
ACT,CURTIN,DISABILITIES|HEALTH|HOUSING|SUPPORT & COUNSELLING,-35.32463596069707,149.0773680820766,13,2,6.5
ACT,DEAKIN,ALCOHOL & OTHER DRUGS|DISABILITIES|HEALTH|HOUSING|LAW|MENTAL HEALTH|SUPPORT & COUNSELLING,-35.319194359901715,149.10316485558369,85,11,7.7272727272727275
ACT,DICKSON,FAMILY VIOLENCE|HOUSING|LAW,-35.25278272068946,149.14165168124111,6,2,3
ACT,DOWNER,EMPLOYMENT|HEALTH|HOUSING,-35.243860934921244,149.14350266742602,53,4,13.25
ACT,DUFFY,HOUSING|SUPPORT & COUNSELLING,-35.33457514734974,149.031895364028,1,1,1
ACT,EVATT,DISABILITIES|HEALTH|HOUSING|MENTAL HEALTH,-35.21466941295409,149.06550125226101,2,0,0
