State,Suburb,Reason for seeking support,lat,lon,Service Demand,Service Supply,Demand to Supply Ratio
NSW,ABBOTSBURY,HOUSING,-33.87009481489473,150.8611692411555,1,0,0
NSW,ABBOTSFORD,HOUSING,-33.85061444365485,151.12928258404332,3,0,0
NSW,ABERCROMBIE,DISABILITIES|HOUSING,-33.38997265393065,149.55643089645488,1,0,0
NSW,ABERDARE,FAMILY VIOLENCE|HOUSING|LAW,-32.84105762158453,151.38171304481986,8,0,0
NSW,ABERDEEN,HOUSING,-32.17382693917287,150.8916104922304,1,0,0
NSW,ABERGLASSLYN,HOUSING,-32.7006908,151.5255161,8,0,0
NSW,ABERMAIN,FAMILY VIOLENCE|HOUSING|LAW,-32.81970772452328,151.43721026455742,1,0,0
NSW,ACACIA GARDENS,DISABILITIES|FAMILY VIOLENCE|HEALTH|HOUSING|LAW|MENTAL HEALTH,-33.736651159019495,150.91717521398184,19,0,0
NSW,ADAMSTOWN,HOUSING,-32.93828811964968,151.72530614528182,16,1,16
NSW,ADAMSTOWN HEIGHTS,FAMILY VIOLENCE|HOUSING|LAW,-32.949039161760055,151.71034204012395,31,0,0
NSW,AIRDS,HOUSING,-34.085987188995624,150.83313547022723,8,5,1.6
NSW,ALBION PARK,FAMILY VIOLENCE|HOUSING|LAW,-34.58219765642144,150.77728232461433,14,4,3.5
NSW,ALBION PARK RAIL,DISABILITIES|HEALTH|HOUSING|SUPPORT & COUNSELLING,-34.56184402706369,150.79486969383444,10,14,0.7142857142857143
NSW,ALBURY,HOUSING|SUPPORT & COUNSELLING,-36.07372954017104,146.9135418818076,152,62,2.4516129032258065
NSW,ALEXANDRIA,HOUSING|SUPPORT & COUNSELLING,-33.909862449408855,151.1928183455656,73,10,7.3
NSW,ALLAMBIE HEIGHTS,DISABILITIES|HOUSING,-33.76958115709739,151.24882675109734,2,12,0.16666666666666666
NSW,ALLEENA,HOUSING|SUPPORT & COUNSELLING,-34.094002274940166,147.1334845086556,7,0,0
NSW,ALLWORTH,HOUSING,-32.54161558949871,151.94509178116215,4,0,0
NSW,ALSTONVILLE,DISABILITIES|HEALTH|HOUSING|SUPPORT & COUNSELLING,-28.84087213628081,153.44948459897932,1,9,0.1111111111111111
NSW,AMBARVALE,HOUSING|SUPPORT & COUNSELLING,-34.08927491570913,150.79718396017105,20,3,6.666666666666667
NSW,ANNA BAY,FOOD|HOUSING|SUPPORT & COUNSELLING,-32.766643830288814,152.07581457531842,17,1,17
NSW,ANNANDALE,HOUSING,-33.88073491821582,151.17140582275502,29,5,5.8
NSW,APPIN,HOUSING,-34.236467399999995,150.81442149999998,8,0,0
NSW,ARATULA,DISABILITIES|HEALTH|HOUSING|MENTAL HEALTH,-35.774271007740474,145.28687272963268,1,0,0
NSW,ARCADIA,HOUSING,-33.610779245680206,151.0669649503449,0,1,0
NSW,ARDLETHAN,HEALTH|HOUSING|SUPPORT & COUNSELLING,-34.34346853414518,146.8545382234,0,1,0
NSW,ARGENTON,FAMILY VIOLENCE|HOUSING|LAW,-32.9352316912675,151.6306845401035,11,0,0
NSW,ARMIDALE,EMPLOYMENT|HEALTH|HOUSING|LAW,-30.501566832043544,151.66620712983695,29,57,0.5087719298245614
NSW,ARNCLIFFE,HOUSING|SUPPORT & COUNSELLING,-33.939399306856096,151.14763491878858,9,14,0.6428571428571429
NSW,ARNDELL PARK,HEALTH|HOUSING,-33.79050698378238,150.8830784830902,3,1,3
NSW,ARRAWARRA,HOUSING|SUPPORT & COUNSELLING,-30.052968368656504,153.19111937540023,2,0,0
NSW,ARTARMON,HOUSING|SUPPORT & COUNSELLING,-33.810971110536244,151.1860540883056,9,0,0
NSW,ARUMPO,HOUSING,-33.494,143.2104,208,0,0
NSW,ASHBURY,HEALTH|HOUSING,-33.90028583463299,151.11881567862963,6,2,3
NSW,ASHCROFT,FAMILY VIOLENCE|HOUSING|LAW|SUPPORT & COUNSELLING,-33.91602795213601,150.899879102163,9,3,3
NSW,ASHFIELD,HOUSING|SUPPORT & COUNSELLING,-33.888726642319384,151.12617276984278,718,54,13.296296296296296
NSW,ASHFORD,HEALTH|HOUSING|SUPPORT & COUNSELLING,-29.311263010957884,151.16776057254125,2,4,0.5
NSW,ASHLEY,FAMILY VIOLENCE|HOUSING|LAW,-29.250146401779197,149.79761794938352,40,0,0
NSW,ASHMONT,EMPLOYMENT|HEALTH|HOUSING|LAW,-35.12471079278917,147.33171413253712,1,1,1
NSW,ASHTONFIELD,HOUSING,-32.77998051420955,151.59913051598124,1,0,0
NSW,ASQUITH,FAMILY VIOLENCE|HOUSING|LAW,-33.68715198414252,151.1163363558053,127,0,0
NSW,ATTUNGA,HOUSING,-30.91125760093098,150.81745083482016,2,0,0
NSW,AUBURN,HOUSING|SUPPORT & COUNSELLING,-33.85467781298772,151.0262081322616,260,23,11.304347826086957
NSW,AUBURN VALE,FAMILY VIOLENCE|HOUSING|LAW,-29.834869055010575,151.04018835651928,2,0,0
NSW,AUSTRAL,HOUSING,-33.926836299461264,150.80831041432066,34,6,5.666666666666667
NSW,AUSTRAL EDEN,FAMILY VIOLENCE|HOUSING|LAW,-31.02558060627418,152.91963502237354,1,0,0
NSW,AVALON BEACH,DISABILITIES|HEALTH|HOUSING|MENTAL HEALTH|SUPPORT & COUNSELLING,-33.6295200014926,151.3272575347342,5,5,1
NSW,AVOCA BEACH,DISABILITIES|HOUSING,-33.471143628802714,151.4272232679376,1,1,1
NSW,BAERAMI CREEK,HOUSING,-32.57417611589355,150.49334503676945,43,0,0
NSW,BAKERS CREEK,HOUSING,-30.826621688127407,152.7145508453889,22,0,0
