State,Suburb,Reason for seeking support,lat,lon,Service Demand,Service Supply,Demand to Supply Ratio
NT,ALAWA,HOUSING|SUPPORT & COUNSELLING,-12.379636516297566,130.87271744363588,1,0,0
NT,ALI CURUNG,FAMILY VIOLENCE|HOUSING|LAW,-21.019868491321045,134.32485082075473,0,1,0
NT,ALICE SPRINGS,FOOD|HEALTH|HOUSING|SUPPORT & COUNSELLING,-23.698042183956478,133.88074719351894,82,75,1.0933333333333333
NT,ALPURRURULAM,HOUSING,-20.981743814468825,137.83736049788632,0,5,0
NT,ALYANGULA,HOUSING,-13.850785863644992,136.4200660375691,1,0,0
NT,AMOONGUNA,DISABILITIES|HOUSING|SUPPORT & COUNSELLING,-23.768467984292794,133.93065324471846,0,2,0
NT,AMPILATWATJA,HOUSING,-21.664302424389454,135.24692120621827,0,1,0
NT,ANATYE,HOUSING,-22.994002317099092,136.95366867875265,0,1,0
NT,ANGURUGU,DISABILITIES|HOUSING|SUPPORT & COUNSELLING,-13.98119125041429,136.4612077784723,1,2,0.5
NT,ANULA,HOUSING|SUPPORT & COUNSELLING,-12.391248847842236,130.89047002886974,0,2,0
NT,AREYONGA,HOUSING,-24.085063478533883,132.27262313620298,0,3,0
NT,BAKEWELL,FAMILY VIOLENCE|HOUSING|LAW,-12.500653953437691,130.99265185440098,1,0,0
NT,BARUNGA,HOUSING,-14.526647563889705,132.86739241065456,0,1,0
NT,BATCHELOR,HOUSING,-13.089753807893237,131.05739536884917,0,1,0
NT,BELLAMACK,HOUSING|SUPPORT & COUNSELLING,-12.515629536235126,130.98303067795334,1,0,0
NT,BERRIMAH,DISABILITIES|HEALTH|HOUSING|MENTAL HEALTH|SUPPORT & COUNSELLING,-12.434994543188857,130.92612103609335,13,26,0.5
NT,BERRY SPRINGS,HOUSING,-12.718781216692841,131.006734849806,2,0,0
NT,BESWICK,DISABILITIES|HOUSING|SUPPORT & COUNSELLING,-14.558019573635523,133.1150781602941,1,5,0.2
NT,BORROLOOLA,FAMILY VIOLENCE|HOUSING|LAW,-16.070343142335492,136.3086572647993,2,4,0.5
NT,BRINKIN,HOUSING,-12.370779929593207,130.86888627901862,5,0,0
NT,BULMAN WEEMOL,HOUSING,-13.653936811896653,134.3150459005506,0,1,0
NT,CASUARINA,FAMILY VIOLENCE|HOUSING|LAW|SUPPORT & COUNSELLING,-12.374013532638104,130.88224084564084,38,9,4.222222222222222
NT,COCONUT GROVE,HOUSING|SUPPORT & COUNSELLING,-12.396141661331207,130.8502368973183,86,19,4.526315789473684
NT,CONNELLAN,HOUSING|SUPPORT & COUNSELLING,-23.802116320462257,133.91024627892392,0,3,0
NT,COSSACK,HOUSING,-14.463691373349413,132.1721041050388,20,0,0
NT,DARWIN CITY,HOUSING,-12.463440400457824,130.84564187586514,510,18,28.333333333333332
NT,DARWIN RIVER,HOUSING,-12.819228624458953,130.96986199842812,3,0,0
NT,ELLIOTT,HOUSING,-17.55412891325451,133.54498898721278,0,2,0
NT,FANNIE BAY,FAMILY VIOLENCE|HOUSING|LAW,-12.426771721482034,130.8363811106705,0,1,0
NT,FARRAR,HEALTH|HOUSING,-12.480270887933685,130.99817810852076,0,1,0
NT,GALIWINKU,HOUSING,-12.007770857717993,135.58644265609675,1,6,0.16666666666666666
NT,GHAN,HOUSING,-25.274397999999998,133.775136,1,0,0
NT,GRAY,HOUSING|SUPPORT & COUNSELLING,-12.49036173278658,130.98227872141314,2,4,0.5
NT,GUNBALANYA,HOUSING,-12.346924474203261,133.04923106009107,5,2,2.5
NT,GUNN,HOUSING,-12.487658146614327,130.99307437966866,3,0,0
NT,HAASTS BLUFF,DISABILITIES|HOUSING|SUPPORT & COUNSELLING,-23.45248443097505,131.86231219784435,0,2,0
NT,HERBERT,FAMILY VIOLENCE|HOUSING|LAW,-12.534121436485378,131.16198383563088,10,0,0
NT,HERMANNSBURG,HOUSING,-23.938025196592317,132.7960098044144,0,3,0
NT,HOLMES,FAMILY VIOLENCE|HOUSING|LAW,-12.38479950847217,130.92686024147582,34,0,0
NT,HOTHAM,HOUSING,-12.34404224973004,131.40585219183953,36,0,0
NT,HOWARD SPRINGS,HOUSING,-12.470807123010479,131.06169552862647,8,0,0
NT,HUMPTY DOO,HOUSING|SUPPORT & COUNSELLING,-12.584872467657886,131.12725637230875,0,1,0
NT,IMANPA,FOOD|HOUSING,-25.117556192506836,132.56876357723078,0,4,0
NT,JABIRU,HOUSING,-12.669482830271843,132.83718495566725,0,2,0
NT,JILKMINGGAN,HOUSING,-14.961477618057339,133.292841998021,0,1,0
NT,JINGILI,FAMILY VIOLENCE|HOUSING|LAW,-12.38895115773287,130.87280523571678,1,0,0
NT,KALTUKATJARA,HEALTH|HOUSING,-24.872553006880672,129.09452804436663,0,2,0
NT,KARAMA,HOUSING|SUPPORT & COUNSELLING,-12.4038122,130.9176753,1,0,0
NT,KATHERINE,HEALTH|HOUSING,-14.452114112458323,132.27151444017247,36,41,0.8780487804878049
NT,KATHERINE EAST,FAMILY VIOLENCE|HOUSING|LAW,-14.463996899365164,132.28897817560747,13,0,0
NT,LAJAMANU,DISABILITIES|FOOD|HEALTH|HOUSING|MENTAL HEALTH|SUPPORT & COUNSELLING,-18.459817712828634,130.4319875644207,0,3,0
NT,LARAMBA,DISABILITIES|HOUSING|SUPPORT & COUNSELLING,-22.543435706725045,132.76235884496495,0,4,0
NT,LARRAKEYAH,HOUSING,-12.456464178517855,130.82450137479438,2,1,2
NT,LEANYER,HOUSING,-12.372858282361808,130.9039891015854,4,0,0
NT,LIMMEN,HOUSING,-15.197586143792147,134.94063299210117,13,0,0
NT,LUDMILLA,HEALTH|HOUSING|SUPPORT & COUNSELLING,-12.414093444925593,130.84891766941064,1,6,0.16666666666666666
NT,MALAK,FAMILY VIOLENCE|HOUSING|LAW,-12.392863010866488,130.9039683148681,2,3,0.6666666666666666
NT,MANINGRIDA,HEALTH|HOUSING|SUPPORT & COUNSELLING,-12.056135938287731,134.23115082277099,0,2,0
NT,MARRARA,HOUSING,-12.3958421,130.8808602,13,0,0
NT,MILIKAPITI,HOUSING,-11.416416123156365,130.6586037307906,0,1,0
NT,MILINGIMBI,DISABILITIES|HOUSING|SUPPORT & COUNSELLING,-12.101261137796342,134.91094932616312,0,4,0
NT,MILLNER,HOUSING,-12.39185864804214,130.8625200584806,1,0,0
NT,MINJILANG,HOUSING,-11.14470593998367,132.57248129525564,1,1,1
NT,MITCHELL,FAMILY VIOLENCE|HOUSING|LAW,-12.529102544370412,130.99430322551612,10,0,0
NT,MOIL,DISABILITIES|HOUSING,-12.388507250731278,130.88087837516272,3,1,3
NT,MOULDEN,DISABILITIES|FAMILY VIOLENCE|HEALTH|HOUSING|LAW|MENTAL HEALTH,-12.4998266,130.9745334,4,0,0
NT,MOUNT LIEBIG,DISABILITIES|HOUSING|SUPPORT & COUNSELLING,-23.268016687493077,131.27766736104442,0,5,0
NT,MUTITJULU,HOUSING,-25.350695459386184,131.06735965851342,0,1,0
NT,NAKARA,HOUSING,-12.370540433927646,130.87727925457926,1,1,1
NT,NAUIYU,HOUSING|SUPPORT & COUNSELLING,-13.721575476356515,130.731054238152,0,4,0
NT,NGUKURR,FAMILY VIOLENCE|HOUSING|LAW,-14.731587311116302,134.74407342043975,0,1,0
NT,NHULUNBUY,HOUSING,-12.19996990240527,136.7679838716442,9,14,0.6428571428571429
NT,NIGHTCLIFF,HEALTH|HOUSING,-12.389309270792987,130.84056048704147,8,1,8
NT,NUMBULWAR,DISABILITIES|FOOD|HEALTH|HOUSING|SUPPORT & COUNSELLING,-14.273980356640815,135.72581681634674,3,6,0.5
NT,PALMERSTON CITY,FAMILY VIOLENCE|HOUSING|LAW|SUPPORT & COUNSELLING,-12.478574800882372,130.98455220942327,26,15,1.7333333333333334
NT,PAPUNYA,HOUSING|SUPPORT & COUNSELLING,-23.20480044515768,131.91313154879688,2,2,1
NT,PARAP,DISABILITIES|FAMILY VIOLENCE|HEALTH|HOUSING|LAW|MENTAL HEALTH,-12.432679628616286,130.844997739373,2,0,0
NT,PEPPIMENARTI,HOUSING,-14.145697701743774,130.0827959549312,0,1,0
NT,PINE CREEK,HEALTH|HOUSING|SUPPORT & COUNSELLING,-13.823565576761608,131.82619764243637,3,2,1.5
NT,PIRLANGIMPI,HOUSING,-11.390260653433545,130.4214678394631,0,1,0
NT,RAMINGINING,DISABILITIES|FOOD|HEALTH|HOUSING|MENTAL HEALTH|SUPPORT & COUNSELLING,-12.328996124619092,134.92591521173702,2,2,1
NT,RAPID CREEK,HOUSING,-12.375576049692123,130.85224064647036,1,0,0
NT,ROSEBERY,DISABILITIES|HEALTH|HOUSING|MENTAL HEALTH,-12.507372390196137,130.98883794167168,3,0,0
NT,SADADEEN,HOUSING,-23.703267018102967,133.9010001987174,5,0,0
NT,SANDOVER,HOUSING,-21.984013199759655,135.48218321240097,0,5,0
NT,SOUTHPORT,DISABILITIES|HEALTH|HOUSING|MENTAL HEALTH,-12.730332523199854,130.95282164242556,2,0,0
NT,STUART PARK,FOOD|HEALTH|HOUSING|LAW|SUPPORT & COUNSELLING,-12.446959277558733,130.8474321784725,1,2,0.5
NT,TENNANT CREEK,FAMILY VIOLENCE|HOUSING|LAW|SUPPORT & COUNSELLING,-19.654811167964773,134.1871597928897,13,21,0.6190476190476191
NT,THAMARRURR,HOUSING,-14.201148929471634,129.64047524660006,0,1,0
NT,TIMBER CREEK,HOUSING,-15.661550416086959,130.49603149226186,0,2,0
NT,TINDAL,DISABILITIES|HEALTH|HOUSING|MENTAL HEALTH|SUPPORT & COUNSELLING,-14.53113365466835,132.37912167159797,0,1,0
NT,TIWI,FOOD|HEALTH|HOUSING|SUPPORT & COUNSELLING,-12.357512790727782,130.8756225824879,2,2,1
NT,UMBAKUMBA,DISABILITIES|HOUSING|SUPPORT & COUNSELLING,-13.861747259209826,136.80716150894278,0,2,0
NT,WADEYE,HOUSING,-14.244111694460921,129.51632872127885,1,7,0.14285714285714285
NT,WAGAMAN,HOUSING|SUPPORT & COUNSELLING,-12.380748145510776,130.88537881133894,3,2,1.5
NT,WARRUWI,HOUSING,-11.657862764471002,133.37825423116172,0,1,0
NT,WHITE GUMS,DISABILITIES|HOUSING,-23.75188560670822,133.757852828892,48,0,0
NT,WINNELLIE,HOUSING,-12.428713483801028,130.88483271268444,27,25,1.08
NT,WOODROFFE,HOUSING,-12.501724077671707,130.98015962996038,214,0,0
NT,WULAGI,DISABILITIES|HOUSING|SUPPORT & COUNSELLING,-12.383419086957842,130.89547528443916,5,1,5
NT,WURRUMIYANGA,DISABILITIES|HOUSING|SUPPORT & COUNSELLING,-11.75841975344388,130.62542990489413,1,5,0.2
NT,YIRRKALA,HOUSING,-12.247644721366463,136.8838823198645,3,1,3
NT,YULARA,HOUSING,-25.206904867520887,130.97005713421214,2,0,0
NT,ZUCCOLI,HOUSING,-12.510704327177285,131.0058232753055,1,0,0
