State,Suburb,Reason for seeking support,lat,lon,Service Demand,Service Supply,Demand to Supply Ratio
SA,ABERFOYLE PARK,DISABILITIES|HEALTH|HOUSING|MENTAL HEALTH,-35.0705691346956,138.6011363160022,0,7,0
SA,ADELAIDE,HOUSING,-34.92849901844668,138.60074595108873,1603,94,17.0531914893617
SA,ADELAIDE AIRPORT,HOUSING,-34.94615524219779,138.53080516894477,13,0,0
SA,ALBERT PARK,HOUSING,-34.87624028613646,138.52147168174037,12,0,0
SA,ALBERTON,HOUSING,-34.85903637373542,138.51610961505327,2,0,0
SA,ALDGATE,DISABILITIES|HOUSING,-35.016333145820326,138.7394593518515,2,2,1
SA,ALDINGA,HOUSING,-35.27063637802032,138.48356430230865,51,5,10.2
SA,ALDINGA BEACH,EMPLOYMENT|HEALTH|HOUSING|LAW,-35.29319381324335,138.45830006634085,14,2,7
SA,ALLENBY GARDENS,DISABILITIES|HOUSING,-34.9016291404919,138.5543742835315,11,0,0
SA,AMATA,HOUSING|SUPPORT & COUNSELLING,-26.127661968751735,131.1738798902256,0,1,0
SA,ANDAMOOKA,HOUSING,-30.453596711318554,137.16496835113554,3,0,0
SA,ANGASTON,DISABILITIES|HEALTH|HOUSING|SUPPORT & COUNSELLING,-34.529841792565676,139.06224606923425,1,1,1
SA,ANGLE PARK,HOUSING,-34.85595693391271,138.5606127750472,0,3,0
SA,ANGLE VALE,HOUSING,-34.638588539981534,138.64975729302182,1,0,0
SA,ANNA CREEK,HOUSING,-28.754232998164266,136.20298628178074,1,0,0
SA,ARDROSSAN,HOUSING,-34.43814869208753,137.90125986488886,0,2,0
SA,ASHBOURNE,ALCOHOL & OTHER DRUGS|HEALTH|HOUSING|SUPPORT & COUNSELLING,-35.300014229887346,138.76359933533874,0,1,0
SA,ASHFORD,FAMILY VIOLENCE|HOUSING|LAW,-34.948668974997034,138.5743589550445,4,0,0
SA,ASHTON,HOUSING,-34.941361198824026,138.73611080604724,2,0,0
SA,ATHELSTONE,HOUSING|SUPPORT & COUNSELLING,-34.87148110607338,138.70543588970088,4,0,0
SA,ATHOL PARK,EMPLOYMENT|HOUSING|LAW|MENTAL HEALTH|SUPPORT & COUNSELLING,-34.85607418544853,138.5428240264765,0,3,0
SA,AUBURN,HOUSING,-34.029244431277824,138.67854319734968,1,0,0
SA,AUSTRALIA PLAINS,HOUSING,-34.086423621949955,139.17034728918995,15,0,0
SA,BALAKLAVA,DISABILITIES|HEALTH|HOUSING|MENTAL HEALTH,-34.14449662931898,138.42789698055628,7,9,0.7777777777777778
SA,BARMERA,DISABILITIES|HOUSING,-34.23322388649623,140.46633891276855,0,5,0
SA,BAROSSA,HOUSING,-34.62967823888039,138.8846810521457,1,0,0
SA,BEDFORD PARK,HEALTH|HOUSING|SUPPORT & COUNSELLING,-35.02343039243535,138.5698338497451,0,1,0
SA,BELAIR,DISABILITIES|HOUSING,-35.00645594404022,138.64363784565793,5,4,1.25
SA,BELLEVUE HEIGHTS,DISABILITIES|HEALTH|HOUSING|MENTAL HEALTH,-35.03022960001099,138.58313317062738,1,2,0.5
SA,BERRI,HEALTH|HOUSING|LAW|SUPPORT & COUNSELLING,-34.27704536391696,140.6077320632887,12,16,0.75
SA,BEULAH PARK,DISABILITIES|HEALTH|HOUSING|MENTAL HEALTH,-34.91767942580654,138.6452201097162,0,4,0
SA,BLACK FOREST,HOUSING,-34.96028204212952,138.57667186122794,9,0,0
SA,BLACK HILL,HOUSING,-34.694393547385125,139.48114209083437,3,0,0
SA,BLACKFELLOWS CREEK,HOUSING,-35.252192632677584,138.70973284661224,1,0,0
SA,BLACKWOOD,HOUSING,-35.0318487,138.6069925,4,0,0
SA,BLAIR ATHOL,HOUSING|SUPPORT & COUNSELLING,-34.85924648529254,138.59654156898804,7,3,2.3333333333333335
SA,BLAKEVIEW,FAMILY VIOLENCE|HOUSING|LAW,-34.675634942753184,138.71005075031374,12,0,0
SA,BLANCHE HARBOR,HOUSING,-32.69008919240852,137.75411073559118,19,0,0
SA,BLANCHETOWN,HOUSING,-34.31683084072354,139.52880507293187,1,0,0
SA,BLEWITT SPRINGS,HOUSING,-35.16867894520337,138.5945566914067,0,1,0
SA,BOLIVAR,HOUSING,-34.77156749279325,138.57220484087384,10,0,0
SA,BOOLEROO CENTRE,DISABILITIES|HEALTH|HOUSING|MENTAL HEALTH,-32.865849794846106,138.34897777700562,0,3,0
SA,BOORS PLAIN,HOUSING,-34.043314771527015,137.70057817224802,8,0,0
SA,BORDERTOWN,DISABILITIES|HEALTH|HOUSING|SUPPORT & COUNSELLING,-36.32179128112874,140.77544828769868,3,4,0.75
SA,BOWDEN,HOUSING|SUPPORT & COUNSELLING,-34.90291003000756,138.57998114873996,0,6,0
SA,BOWILLIA,HOUSING,-33.934592899772795,138.41323827132038,5,0,0
SA,BRIDGEWATER,HOUSING,-35.01588132411852,138.76776056080755,5,0,0
SA,BRIGHTON,DISABILITIES|HEALTH|HOUSING,-35.01844642866484,138.52228224371075,0,2,0
SA,BROADVIEW,HOUSING,-34.875940588319125,138.6150131158048,5,1,5
SA,BROMPTON,HOUSING|SUPPORT & COUNSELLING,-34.89833163232351,138.5756754117721,3,10,0.3
SA,BUCKLAND PARK,HOUSING,-34.688321842769014,138.49962962571203,2,0,0
SA,BUMBUNGA,HOUSING|SUPPORT & COUNSELLING,-33.90876493578448,138.23003810667612,9,0,0
SA,BUNBURY,HOUSING,-36.16406383763656,139.9801626113897,1,0,0
SA,BUNDALEER NORTH,DISABILITIES|HOUSING,-33.27950872669069,138.59416709472333,2,0,0
SA,BURNSIDE,HEALTH|HOUSING,-34.94007907039703,138.6666116026073,0,1,0
SA,BURRA,HOUSING|SUPPORT & COUNSELLING,-33.68501463515218,138.95322149884697,0,2,0
SA,BURTON,HOUSING,-34.737698434009516,138.6000845039702,2,2,1
SA,CALTOWIE,HOUSING,-33.20064744256059,138.4912468946296,1,0,0
SA,CAMPBELLTOWN,HOUSING,-34.88136842618145,138.66085674245096,5,9,0.5555555555555556
SA,CANNAWIGARA,HOUSING|SUPPORT & COUNSELLING,-36.26755054088627,140.64960081237936,3,0,0
SA,CAPE BORDA,DISABILITIES|HEALTH|HOUSING|MENTAL HEALTH,-35.75426516625491,136.72515832943583,2,0,0
SA,CEDUNA,HEALTH|HOUSING|LAW,-32.046762267038005,133.62462482018995,3,6,0.5
SA,CHANDLERS HILL,DISABILITIES|HEALTH|HOUSING|MENTAL HEALTH,-35.0865437859667,138.61696183622033,41,0,0
SA,CHRISTIE DOWNS,HOUSING,-35.129829523189734,138.49634157801336,28,9,3.111111111111111
SA,CHRISTIES BEACH,FAMILY VIOLENCE|HOUSING|LAW|SUPPORT & COUNSELLING,-35.13475913070706,138.4775988703222,60,16,3.75
SA,CLAPHAM,HOUSING,-34.990157831725625,138.60500805537757,6,0,0
SA,CLARE,DISABILITIES|HEALTH|HOUSING|SUPPORT & COUNSELLING,-33.83980060094895,138.6127528994865,15,8,1.875
SA,CLARENCE GARDENS,HOUSING,-34.97135872,138.57548114,6,0,0
SA,CLARENCE PARK,HOUSING,-34.963984739162306,138.58364869280712,0,1,0
SA,CLAYTON BAY,HOUSING,-35.47149127805756,138.91385700744337,1,0,0
SA,CLEARVIEW,HOUSING,-34.8573929793425,138.61376872748048,2,0,0
SA,CLEVE,DISABILITIES|HOUSING|SUPPORT & COUNSELLING,-33.702950876213244,136.52200281734744,0,4,0
SA,COCKBURN,FOOD|HOUSING,-32.07406624764711,140.9581071033344,1,0,0
SA,COMPTON,HOUSING|SUPPORT & COUNSELLING,-37.81508136103958,140.6755159100921,0,4,0
SA,COOBER PEDY,HOUSING|MENTAL HEALTH,-28.952892581759585,134.87083144960903,5,10,0.5
SA,COOBOWIE,HOUSING|SUPPORT & COUNSELLING,-35.03626717795217,137.72259102830594,1,0,0
SA,COWANDILLA,DISABILITIES|HEALTH|HOUSING|MENTAL HEALTH,-34.93246929367459,138.5569210521841,2,2,1
SA,COWELL,HOUSING|SUPPORT & COUNSELLING,-33.70964084836398,136.82151480470947,0,1,0
SA,CRADOCK,HOUSING,-32.10031968226239,138.56974534197488,2,0,0
SA,CRAFERS,FAMILY VIOLENCE|HOUSING|LAW,-34.988308371351145,138.71472284308868,2,0,0
SA,CRAIGBURN FARM,HOUSING,-35.040454437735,138.60486937078113,4,0,0
SA,CRAIGMORE,DISABILITIES|HEALTH|HOUSING|MENTAL HEALTH,-34.70065111716664,138.70954029876086,2,2,1
SA,CROWN POINT,HOUSING,-26.09784493970007,134.74819127845896,2,0,0
SA,CROYDON,DISABILITIES|HEALTH|HOUSING|MENTAL HEALTH,-34.89517147388018,138.56556082846822,2,0,0
SA,CROYDON PARK,DISABILITIES|HEALTH|HOUSING|MENTAL HEALTH,-34.880258180762816,138.56748750081678,47,7,6.714285714285714
SA,CRYSTAL BROOK,DISABILITIES|HEALTH|HOUSING|MENTAL HEALTH,-33.36779590895872,138.20288781006832,0,4,0
SA,CUMMINS,HOUSING|SUPPORT & COUNSELLING,-34.27068367951174,135.64314208481767,0,2,0
SA,DARLINGTON,HOUSING,-35.03301959582917,138.55628363194364,3,1,3
SA,DAVOREN PARK,DISABILITIES|HEALTH|HOUSING,-34.69108106017591,138.66839638144944,12,5,2.4
SA,DAW PARK,DISABILITIES|HEALTH|HOUSING|MENTAL HEALTH,-34.9853864251453,138.58777292310822,3,5,0.6
SA,DERNANCOURT,HOUSING|SUPPORT & COUNSELLING,-34.86199129897005,138.67658455619474,11,0,0
SA,DRY CREEK,HOUSING,-34.814808416331104,138.56707468475815,6,0,0
SA,DUDLEY PARK,HEALTH|HOUSING|MENTAL HEALTH|SUPPORT & COUNSELLING,-34.8800802579883,138.5791761051558,2,1,2
SA,DULWICH,HOUSING,-34.9388183,138.6273179,62,0,0
SA,EASTWOOD,HOUSING,-34.9435382,138.6245968,55,0,0
SA,ECHUNGA,HOUSING,-35.09814108842414,138.80289035028574,5,0,0
SA,EDINBURGH NORTH,ALCOHOL & OTHER DRUGS|DISABILITIES|EMPLOYMENT|HEALTH|HOUSING|LAW|MENTAL HEALTH|SUPPORT & COUNSELLING,-34.70432848709241,138.65812209930868,80,1,80
SA,EDWARDSTOWN,HOUSING|SUPPORT & COUNSELLING,-34.98021889947533,138.56941459246863,10,1,10
SA,ELIZABETH,HOUSING|SUPPORT & COUNSELLING,-34.720254566192324,138.66930762318967,265,12,22.083333333333332
SA,ELIZABETH DOWNS,DISABILITIES|HOUSING,-34.699340620812094,138.6936386142553,17,0,0
SA,ELIZABETH EAST,HOUSING|SUPPORT & COUNSELLING,-34.726022416944325,138.68150959803765,0,10,0
SA,ELIZABETH GROVE,HOUSING,-34.73619011886518,138.67030247751867,117,0,0
SA,ELIZABETH NORTH,HOUSING,-34.70085434540494,138.67697454470783,8,1,8
SA,ELIZABETH PARK,HOUSING|SUPPORT & COUNSELLING,-34.712327461367124,138.6851974921224,2,3,0.6666666666666666
SA,ELIZABETH SOUTH,FAMILY VIOLENCE|HOUSING|LAW|SUPPORT & COUNSELLING,-34.74109606743246,138.65643341284382,1,1,1
SA,ELIZABETH VALE,EMPLOYMENT|HEALTH|HOUSING|LAW|SUPPORT & COUNSELLING,-34.748981373811155,138.66764508056642,0,3,0
SA,ELLISTON,EMPLOYMENT|HEALTH|HOUSING|LAW,-33.621933618072184,134.91455391818786,0,1,0
SA,ENCOUNTER BAY,DISABILITIES|HEALTH|HOUSING|MENTAL HEALTH,-35.57789135677024,138.5949536019999,0,2,0
SA,ENFIELD,HOUSING,-34.86064839242715,138.60538245796783,34,6,5.666666666666667
SA,EUDUNDA,HOUSING|SUPPORT & COUNSELLING,-34.172235507496424,139.10119337940492,0,2,0
SA,EVANSTON,DISABILITIES|HEALTH|HOUSING|MENTAL HEALTH,-34.62070285986124,138.7320336089917,10,0,0
SA,EVANSTON GARDENS,HOUSING,-34.62811962223141,138.7199322033432,2,0,0
SA,EVANSTON PARK,HOUSING,-34.6309111893761,138.74560372799326,9,0,0
SA,EVERARD PARK,HOUSING,-34.95414181571788,138.57467549210423,0,6,0
SA,FAIRVIEW PARK,FAMILY VIOLENCE|HOUSING|LAW,-34.80044706831053,138.72894797683256,1,0,0
SA,FELIXSTOW,DISABILITIES|HEALTH|HOUSING|MENTAL HEALTH,-34.88902350139265,138.6469629368126,1,3,0.3333333333333333
SA,FINDON,HOUSING,-34.8995242117009,138.53219144728715,38,0,0
SA,FISHERMAN BAY,DISABILITIES|HEALTH|HOUSING|MENTAL HEALTH,-33.55627173699917,137.9372530947652,8,0,0
