State,Suburb,Reason for seeking support,lat,lon,Service Demand,Service Supply,Demand to Supply Ratio
TAS,ABELS BAY,DISABILITIES|FAMILY VIOLENCE|HEALTH|HOUSING|LAW|MENTAL HEALTH,-43.22952221304196,147.1073495114958,1,0,0
TAS,AUSTINS FERRY,HOUSING,-42.77501163217197,147.248832171552,15,0,0
TAS,BATTERY POINT,HOUSING,-42.88989753089973,147.3332654458635,15,0,0
TAS,BEACONSFIELD,HOUSING|SUPPORT & COUNSELLING,-41.2016286867248,146.77794324202515,2,2,1
TAS,BEAUTY POINT,HOUSING|SUPPORT & COUNSELLING,-41.150160899999996,146.8200086,3,0,0
TAS,BELLERIVE,ALCOHOL & OTHER DRUGS|DISABILITIES|EMPLOYMENT|FAMILY VIOLENCE|HEALTH|HOUSING|LAW|MENTAL HEALTH|SUPPORT & COUNSELLING,-42.87382084699712,147.3776144999757,0,1,0
TAS,BERRIEDALE,HOUSING|SUPPORT & COUNSELLING,-42.8145597077889,147.23578745118502,2,1,2
TAS,BLACKMANS BAY,HOUSING,-43.007487910825695,147.3182021368528,4,0,0
TAS,BLACKWOOD CREEK,HOUSING,-41.74392981421121,146.90292836510997,9,0,0
TAS,BRIDGENORTH,DISABILITIES|HEALTH|HOUSING|MENTAL HEALTH,-41.38301241943436,146.9644095995179,1,0,0
TAS,BRIDGEWATER,HOUSING,-42.72495465930169,147.22947703417267,3,0,0
TAS,BRIDPORT,HOUSING|SUPPORT & COUNSELLING,-41.02924081714699,147.37191700165624,3,0,0
TAS,BURNIE,HOUSING,-41.053923242347054,145.9057777561083,11,12,0.9166666666666666
TAS,CAMPBELL TOWN,HEALTH|HOUSING,-41.91759832975571,147.45869480819104,0,1,0
TAS,CAPE BARREN ISLAND,HOUSING,-40.39647839145248,148.24088513370236,0,1,0
TAS,CARLTON,HOUSING,-42.85784330906856,147.6559731303935,5,0,0
TAS,CARLTON RIVER,HOUSING,-42.86052236448134,147.70893466098258,1,0,0
TAS,CHIGWELL,DISABILITIES|FOOD|HEALTH|HOUSING,-42.80749964233705,147.23392563647087,0,1,0
TAS,CLAREMONT,FOOD|HOUSING|SUPPORT & COUNSELLING,-42.787993871295264,147.22257298901357,7,1,7
TAS,CLARENDON VALE,HOUSING,-42.88765675470945,147.44908543399885,0,1,0
TAS,CLAUDE ROAD,DISABILITIES|HEALTH|HOUSING|MENTAL HEALTH,-41.441730836387094,146.26255080670114,2,0,0
TAS,CLEVELAND,HOUSING,-41.805863427005306,147.380776428032,3,0,0
TAS,COLEBROOK,HOUSING,-42.52195937943628,147.35823799874495,3,0,0
TAS,CORNWALL,HOUSING|SUPPORT & COUNSELLING,-41.55688767518285,148.14122737668586,2,0,0
TAS,CYGNET,HOUSING|SUPPORT & COUNSELLING,-43.13357472266384,147.0894229561336,6,2,3
TAS,DERWENT PARK,DISABILITIES|HEALTH|HOUSING|SUPPORT & COUNSELLING,-42.83378084899948,147.2984191207323,10,1,10
TAS,DEVON HILLS,FAMILY VIOLENCE|HOUSING|LAW,-41.550152936157694,147.1834047827723,2,0,0
TAS,DEVONPORT,HOUSING,-41.17703627727619,146.34520846772784,34,25,1.36
TAS,DOLPHIN SANDS,DISABILITIES|HEALTH|HOUSING|MENTAL HEALTH,-42.08773221531213,148.14898340456926,2,0,0
TAS,DON,HOUSING,-41.18191205338601,146.30478083226492,46,0,0
TAS,DOVER,HEALTH|HOUSING,-43.29795452151513,147.01476159533402,1,2,0.5
TAS,EAST DEVONPORT,DISABILITIES|HOUSING|SUPPORT & COUNSELLING,-41.18559420575731,146.3889995436439,1,4,0.25
