State,Suburb,Reason for seeking support,lat,lon,Service Demand,Service Supply,Demand to Supply Ratio
VIC,ABBOTSFORD,ALCOHOL & OTHER DRUGS|DISABILITIES|EMPLOYMENT|HEALTH|HOUSING|LAW|MENTAL HEALTH|SUPPORT & COUNSELLING,-37.804369100352915,144.99969954577747,39,16,2.4375
VIC,ADELAIDE LEAD,DISABILITIES|HEALTH|HOUSING|MENTAL HEALTH,-37.08180683993988,143.66842371278494,9,0,0
VIC,AIRPORT WEST,HOUSING,-37.72372568418645,144.88189980028048,21,0,0
VIC,ALBANVALE,HEALTH|HOUSING|LAW|SUPPORT & COUNSELLING,-37.74594933620379,144.76866239522622,3,1,3
VIC,ALBERT PARK,DISABILITIES|HEALTH|HOUSING,-37.845086024815906,144.9607717894657,22,8,2.75
VIC,ALBERTON WEST,HOUSING|SUPPORT & COUNSELLING,-38.603694215611725,146.57704336600833,3,0,0
VIC,ALBION,HOUSING,-37.7833525775956,144.82395333751103,7,0,0
VIC,ALEXANDRA,HOUSING|SUPPORT & COUNSELLING,-37.198110844105386,145.73673012167538,5,3,1.6666666666666667
VIC,ALFREDTON,DISABILITIES|HOUSING,-37.555913697731064,143.80063103791272,0,4,0
VIC,ALLESTREE,FAMILY VIOLENCE|HOUSING|LAW,-38.27135837911163,141.65149745293445,7,0,0
VIC,ALPHINGTON,DISABILITIES|HOUSING,-37.78043268998719,145.0308242646341,68,4,17
VIC,ALTONA,HOUSING|LAW,-37.86018081358274,144.81379081321043,95,9,10.555555555555555
VIC,ALTONA MEADOWS,DISABILITIES|HEALTH|HOUSING|MENTAL HEALTH,-37.88083240020974,144.7842569846565,15,9,1.6666666666666667
VIC,ALTONA NORTH,DISABILITIES|HEALTH|HOUSING,-37.83784266967429,144.83431349254914,51,6,8.5
VIC,ANGLESEA,HOUSING,-38.380834126507025,144.1543522368946,4,4,1
VIC,APOLLO BAY,HOUSING,-38.72780914653485,143.64145013315002,6,4,1.5
VIC,ARARAT,HOUSING,-37.26245288080945,142.97561012759968,15,27,0.5555555555555556
VIC,ARDEER,HOUSING,-37.776214400945655,144.80152466584715,19,6,3.1666666666666665
VIC,ARMADALE,HOUSING,-37.85668742822496,145.02017200130615,6,3,2
VIC,ARMSTRONG,HOUSING,-37.21249798570753,142.88213171758167,1,0,0
VIC,ARMSTRONG CREEK,HOUSING,-38.2367007,144.3690964,2,0,0
VIC,ASCOT VALE,FOOD|HOUSING|SUPPORT & COUNSELLING,-37.776980229522025,144.91369235484177,15,11,1.3636363636363635
VIC,ASHBURTON,DISABILITIES|HOUSING,-37.867298748837015,145.0801821790963,73,10,7.3
VIC,ASHWOOD,HOUSING,-37.866543691957375,145.1023152385048,11,7,1.5714285714285714
VIC,ASPENDALE,HOUSING,-38.0130262,145.094267,2,0,0
VIC,ATHLONE,HOUSING,-38.24149799183897,145.78648998006844,37,0,0
VIC,ATTWOOD,HOUSING,-37.667051063500146,144.88458868169192,1,0,0
VIC,AVOCA,HOUSING,-37.082002135259,143.47011896982247,1,2,0.5
VIC,AVONDALE HEIGHTS,HOUSING|SUPPORT & COUNSELLING,-37.761554336310994,144.8626096963341,59,6,9.833333333333334
VIC,AXEDALE,HOUSING,-36.76592935957329,144.52404396257674,2,0,0
VIC,BACCHUS MARSH,EMPLOYMENT|HEALTH|HOUSING|LAW|SUPPORT & COUNSELLING,-37.67641335460721,144.44631188885,20,13,1.5384615384615385
VIC,BAIRNSDALE,HOUSING|SUPPORT & COUNSELLING,-37.859810743470916,147.58905814234518,38,56,0.6785714285714286
VIC,BAKERY HILL,DISABILITIES|HOUSING|SUPPORT & COUNSELLING,-37.56322783487438,143.8657419433491,0,2,0
VIC,BALACLAVA,HOUSING,-37.8703620646055,144.9949858798106,34,4,8.5
VIC,BALLAN,EMPLOYMENT|HEALTH|HOUSING|LAW|SUPPORT & COUNSELLING,-37.60683175324116,144.21461928469125,5,9,0.5555555555555556
VIC,BALLARAT CENTRAL,DISABILITIES|FOOD|HOUSING|SUPPORT & COUNSELLING,-37.56215905942602,143.850255498647,120,98,1.2244897959183674
VIC,BALLARAT EAST,DISABILITIES|HOUSING|SUPPORT & COUNSELLING,-37.56482123862167,143.88702054834826,2,12,0.16666666666666666
VIC,BALLARAT NORTH,HOUSING,-37.539142562567044,143.86645220380302,1,1,1
VIC,BALLIANG EAST,DISABILITIES|HOUSING,-37.80871195850024,144.43688003822442,30,0,0
VIC,BALWYN,HEALTH|HOUSING,-37.80900336640735,145.0833258726829,19,11,1.7272727272727273
VIC,BALWYN NORTH,HOUSING,-37.79175859109917,145.08434241649974,36,2,18
VIC,BANGHOLME,HOUSING,-38.048407042188835,145.17207948755126,1,1,1
VIC,BANNOCKBURN,DISABILITIES|HEALTH|HOUSING,-38.04498962881694,144.15416932928102,0,4,0
VIC,BARANDUDA,HOUSING,-36.182683005886716,146.95731313408214,0,3,0
VIC,BARONGAROOK WEST,HEALTH|HOUSING,-38.4321296842572,143.54557962188912,0,1,0
VIC,BARRAKEE,FAMILY VIOLENCE|HOUSING|LAW,-36.26366905069977,143.45226533352417,1,0,0
VIC,BARWON HEADS,HEALTH|HOUSING,-38.2748310550091,144.48809898364252,2,1,2
VIC,BASALT,HOUSING,-37.30787608749198,144.10347641769803,14,0,0
VIC,BAW BAW,FAMILY VIOLENCE|HOUSING|LAW,-37.832056639260664,146.3069443003573,1,0,0
VIC,BAXTER,DISABILITIES|HEALTH|HOUSING|MENTAL HEALTH,-38.20094373436835,145.15665514455816,2,0,0
VIC,BAYLES,FAMILY VIOLENCE|HOUSING|LAW,-38.1760755552228,145.58057425019686,5,0,0
VIC,BAYSWATER,DISABILITIES|HOUSING|MENTAL HEALTH,-37.84517723081164,145.2647299055315,50,20,2.5
VIC,BAYSWATER NORTH,DISABILITIES|HEALTH|HOUSING,-37.826894057030756,145.28365766853324,42,5,8.4
VIC,BEACONSFIELD,HOUSING,-38.0409392396736,145.38298521859844,8,0,0
VIC,BEACONSFIELD UPPER,HOUSING,-37.99820554929696,145.4237925294338,1,2,0.5
VIC,BEAUFORT,DISABILITIES|HEALTH|HOUSING|SUPPORT & COUNSELLING,-37.4414374391445,143.3452024181539,0,4,0
VIC,BEAUMARIS,HOUSING,-37.982404865444096,145.03893240859304,2,1,2
VIC,BEECHWORTH,EMPLOYMENT|HEALTH|HOUSING|LAW|SUPPORT & COUNSELLING,-36.338190193939944,146.65743226017167,1,6,0.16666666666666666
VIC,BELGRAVE,EMPLOYMENT|HEALTH|HOUSING|LAW,-37.91240134969924,145.35529189405165,22,8,2.75
VIC,BELGRAVE HEIGHTS,DISABILITIES|FAMILY VIOLENCE|HEALTH|HOUSING|LAW|MENTAL HEALTH,-37.92623707315655,145.34370222167036,32,0,0
VIC,BELGRAVE SOUTH,HOUSING,-37.9460992437188,145.36638112854257,5,0,0
VIC,BELL PARK,HOUSING,-38.10519191656239,144.3383477099803,24,2,12
VIC,BELL POST HILL,HOUSING|SUPPORT & COUNSELLING,-38.09435094659398,144.3206990368295,6,0,0
VIC,BELLARINE,DISABILITIES|HEALTH|HOUSING|MENTAL HEALTH,-38.1362298935771,144.62172674352595,13,0,0
VIC,BELLBRIDGE,FAMILY VIOLENCE|HOUSING|LAW,-36.09708717632221,147.06019833731204,3,0,0
VIC,BELLFIELD,DISABILITIES|HOUSING,-37.75308863733065,145.03847767753498,5,1,5
VIC,BELMONT,HOUSING,-38.17843940476676,144.3421043652796,82,30,2.7333333333333334
VIC,BENA,HOUSING|SUPPORT & COUNSELLING,-38.435103411260044,145.73753103731943,1,0,0
VIC,BENALLA,HOUSING,-36.57890777192109,145.99676948392158,22,20,1.1
VIC,BENAMBRA,EMPLOYMENT|HEALTH|HOUSING|LAW,-36.884706172455594,147.8067712406776,0,1,0
VIC,BENDIGO,HEALTH|HOUSING|SUPPORT & COUNSELLING,-36.7570160915959,144.2793902133417,115,92,1.25
VIC,BENDOC,EMPLOYMENT|HEALTH|HOUSING|LAW|SUPPORT & COUNSELLING,-37.2084969240024,148.89401281915505,0,1,0
VIC,BENTLEIGH,ALCOHOL & OTHER DRUGS|EMPLOYMENT|HEALTH|HOUSING,-37.92265405625823,145.038580285164,13,14,0.9285714285714286
VIC,BENTLEIGH EAST,FAMILY VIOLENCE|HOUSING|LAW,-37.92211251616657,145.06704387751392,47,10,4.7
VIC,BERWICK,HOUSING,-38.03992847052756,145.3484658616587,80,20,4
VIC,BEVERIDGE,HOUSING,-37.47616827849931,144.97191512555577,2,0,0
VIC,BIG DESERT,HOUSING|SUPPORT & COUNSELLING,-35.621034265280514,141.48496794505027,2,0,0
VIC,BIG HILL,DISABILITIES|HOUSING,-36.83553448178766,144.22958869441118,13,0,0
VIC,BIRCHIP,HOUSING,-35.993368486209015,142.92557572618,1,3,0.3333333333333333
VIC,BIRDWOODTON,FOOD|HOUSING,-34.201646797119366,142.06914956888372,2,0,0
VIC,BIRREGURRA,FAMILY VIOLENCE|HOUSING|LAW,-38.33551766683,143.82007530859866,1,0,0
VIC,BITTERN,HOUSING,-38.336788681626636,145.16922734487315,7,0,0
VIC,BLACK HILL,DISABILITIES|HEALTH|HOUSING|MENTAL HEALTH,-37.54998833330205,143.87248902214878,0,2,0
VIC,BLACKBURN,HOUSING|SUPPORT & COUNSELLING,-37.821695159855466,145.15225680207894,77,11,7
VIC,BLACKBURN NORTH,DISABILITIES|FOOD|HOUSING,-37.80538157959089,145.15434978939084,4,2,2
VIC,BLACKBURN SOUTH,HOUSING,-37.83935874160995,145.14654341300076,61,9,6.777777777777778
VIC,BLACKWOOD,HOUSING,-37.49225956153917,144.29816746391487,3,0,0
VIC,BLAIRGOWRIE,HOUSING,-38.36853947241647,144.77224431465189,3,0,0
VIC,BONA VISTA,DISABILITIES|HEALTH|HOUSING|MENTAL HEALTH,-38.20508121697911,145.963892016933,29,0,0
VIC,BONBEACH,DISABILITIES|HEALTH|HOUSING,-38.06310617902075,145.12761008217072,73,5,14.6
VIC,BONNIE BROOK,DISABILITIES|HEALTH|HOUSING|MENTAL HEALTH,-37.69608886921486,144.6698897679754,6,0,0
VIC,BONNIE DOON,HOUSING,-37.0172303654797,145.88101867472054,1,0,0
VIC,BOOLE POOLE,HOUSING,-37.899325703675274,147.7902474970813,3,0,0
VIC,BOORT,HOUSING,-36.13365684057535,143.7419316071923,1,5,0.2
VIC,BOOSEY,HOUSING|SUPPORT & COUNSELLING,-36.0505466505652,145.7916120725632,23,0,0
VIC,BORONIA,HOUSING|SUPPORT & COUNSELLING,-37.85620093489831,145.28601144452207,168,14,12
VIC,BOTANIC RIDGE,HOUSING,-38.141558234527196,145.2655737199356,5,0,0
VIC,BOX HILL,HOUSING|SUPPORT & COUNSELLING,-37.82152194763263,145.12609495408108,216,77,2.8051948051948052
VIC,BOX HILL NORTH,DISABILITIES|HOUSING|MENTAL HEALTH,-37.80560203461478,145.1295726829147,11,2,5.5
