State,Suburb,Reason for seeking support,lat,lon,Service Demand,Service Supply,Demand to Supply Ratio
WA,ALBANY,HOUSING|SUPPORT & COUNSELLING,-35.027529949235685,117.883959197026,36,28,1.2857142857142858
WA,ALDERSYDE,FAMILY VIOLENCE|HOUSING|LAW,-32.31509684082132,117.26900233836207,1,0,0
WA,ALEXANDER HEIGHTS,DISABILITIES|HOUSING,-31.827588505364037,115.86506870601173,1,0,0
WA,ALFRED COVE,HOUSING,-32.032849982019286,115.81703199845423,20,0,0
WA,ALKIMOS,FAMILY VIOLENCE|HOUSING|LAW,-31.61460096238263,115.68334887975811,13,0,0
WA,ANGELO RIVER,HOUSING,-23.839372209160018,118.40816009861732,1,1,1
WA,ANNIEBROOK,HOUSING,-33.66938990217211,115.16923562248525,38,0,0
WA,APPLECROSS,HOUSING|SUPPORT & COUNSELLING,-32.0111005,115.8435539,1,0,0
WA,ARDROSS,HEALTH|HOUSING,-32.027130878997745,115.83552181371118,2,1,2
WA,ARMADALE,HOUSING|LAW|SUPPORT & COUNSELLING,-32.15112994200788,116.00690030723823,113,6,18.833333333333332
WA,ASCOT,HOUSING,-31.934125455462382,115.92938760908163,31,1,31
WA,ASHBY,HOUSING,-31.732563389131062,115.79767240613856,2,0,0
WA,ASHFIELD,DISABILITIES|HEALTH|HOUSING|MENTAL HEALTH,-31.917357281227943,115.93807237941485,1,1,1
WA,ATTADALE,HOUSING,-32.02534592595579,115.80234537915467,4,0,0
WA,ATWELL,DISABILITIES|HEALTH|HOUSING|MENTAL HEALTH,-32.14346965313468,115.86518393169213,4,0,0
WA,AUBIN GROVE,DISABILITIES|HEALTH|HOUSING|MENTAL HEALTH,-32.16699868269498,115.86268346615539,6,0,0
WA,AUSTRALIND,HOUSING,-33.282954923257854,115.72298477405849,13,1,13
WA,AVELEY,HOUSING,-31.781568682502662,115.98924796227588,1,0,0
WA,BALCATTA,DISABILITIES|HEALTH|HOUSING|MENTAL HEALTH,-31.871562732873684,115.81944851012483,7,3,2.3333333333333335
WA,BALDIVIS,HOUSING,-32.329006348112316,115.83064846567734,49,2,24.5
WA,BALGA,HOUSING,-31.854826429415475,115.83983590416481,26,2,13
WA,BALLADONIA,HOUSING,-32.25231713022291,124.18842058781867,1,0,0
WA,BALLAJURA,HOUSING,-31.840030659093202,115.89602082331666,26,0,0
WA,BANKSIA GROVE,DISABILITIES|HEALTH|HOUSING|MENTAL HEALTH,-31.696259690029873,115.80541594271331,3,0,0
WA,BASSENDEAN,HOUSING,-31.90629637893245,115.94525136849565,35,0,0
WA,BATEMAN,HOUSING,-32.0591076,115.84624980000001,2,0,0
WA,BAYSWATER,HOUSING,-31.91741304785997,115.91785195243514,53,4,13.25
WA,BEACONSFIELD,HOUSING,-32.069386567721416,115.76858500621177,19,0,0
WA,BECKENHAM,HOUSING,-32.02434685145173,115.9606064568209,5,0,0
WA,BEDFORD,HOUSING|SUPPORT & COUNSELLING,-31.90948681414846,115.8916820797603,2,2,1
